tconst,averageRating,numVotes
tt1409024,6.8,404148
tt9140560,7.9,403781
tt0162661,7.3,403260
tt0964517,7.8,401838
tt0317740,7.0,401674
tt0113497,7.1,401506
tt2467372,8.4,401425
tt3799694,7.4,401014
tt0408236,7.3,400439
tt1951266,6.6,400392
tt0081398,8.1,400303
tt3778644,6.9,400085
tt0443543,7.5,399670
tt0087843,8.3,399610
tt0099423,7.2,399393
tt0107688,7.9,398996
tt0338751,7.5,398583
tt0477347,6.5,398385
tt0360486,7.0,398186
tt1068680,6.8,398102
tt2106476,8.3,395000
tt0119396,7.5,394427
tt0478311,6.9,394178
tt0357413,7.1,394035
tt0298130,7.1,393497
tt0363163,8.2,392631
tt10366206,7.6,392386
tt0100405,7.1,392217
tt4649466,6.7,391511
tt0396269,7.0,390656
tt1907668,7.3,390570
tt1646971,7.8,390525
tt0047478,8.6,390164
tt1182345,7.8,388992
tt0438488,6.5,388004
tt6208148,2.1,387818
tt0395169,8.1,386606
tt1041829,6.8,385720
tt7767422,8.2,384764
tt2798920,6.8,384587
tt0790724,7.0,383141
tt1371111,7.4,382890
tt2140479,7.3,382381
tt0182576,8.1,381224
tt0496806,6.9,380799
tt4052886,8.0,380757
tt3107288,7.5,380014
tt0077416,8.1,379381
tt0878804,7.6,378704
tt1748122,7.8,377689
tt5290382,8.6,377419
tt1065073,7.9,377335
tt0389860,6.4,376983
tt5071412,8.4,376596
tt6857112,6.8,376456
tt1650062,7.0,376259
tt1179933,7.2,375621
tt1320253,6.4,375348
tt0433035,7.1,373829
tt0064116,8.5,373455
tt0098904,8.9,373419
tt0117500,7.4,373123
tt0100802,7.5,373047
tt1790809,6.5,372340
tt1405406,7.7,372049
tt1796960,8.3,371757
tt0125439,7.2,371520
tt0212338,7.0,371504
tt1104001,6.8,371260
tt0368891,6.9,370423
tt2788710,6.5,370396
tt4881806,6.1,370351
tt0822854,7.1,369914
tt1403865,7.6,369844
tt0071315,8.1,369251
tt7888964,7.4,368941
tt5311514,8.4,368891
tt0887883,7.0,368507
tt0910936,6.9,367955
tt1231583,6.5,367264
tt0110148,7.5,367103
tt0120667,5.7,367038
tt3731562,6.7,366779
tt0112471,8.1,365386
tt0413573,7.6,364652
tt0120601,7.7,364637
tt0167190,6.9,364222
tt7653254,7.9,364166
tt0213149,6.3,363870
tt0053125,8.3,363634
tt0884328,7.1,363606
tt0414387,7.8,361780
tt0163025,6.0,361104
tt0359950,7.3,360820
tt0095327,8.5,360804
tt0209163,6.4,360683
tt0116367,7.2,360258
tt0462538,7.3,359317
tt3606756,7.5,357813
tt0238380,7.3,357618
tt1591095,6.8,357483
tt0105323,8.0,357309
tt1193138,7.4,356937
tt1707386,7.5,356937
tt1844624,7.9,356836
tt4925292,7.4,355507
tt1645170,6.5,355079
tt1037705,6.8,354595
tt0119528,6.9,354265
tt1951261,5.9,353231
tt14230458,7.8,352528
tt0399295,7.6,352155
tt0457939,7.0,352154
tt0413267,6.1,351685
tt2771200,7.1,351561
tt7335184,7.6,350214
tt1638355,7.2,350210
tt0031381,8.2,350009
tt2322441,4.2,349971
tt0332379,7.2,349325
tt1306980,7.6,349316
tt0472043,7.8,348766
tt0119008,7.7,348419
tt0094226,7.8,347167
tt0056592,8.3,346064
tt5726616,7.8,345981
tt0381849,7.6,345664
tt7991608,6.3,345588
tt4975722,7.4,345162
tt0970179,7.5,345068
tt1302011,7.3,345031
tt0103644,6.4,344989
tt1124373,8.5,344840
tt0386588,6.6,344644
tt0190590,7.7,344616
tt3110958,6.4,344557
tt1981677,7.1,344381
tt0109040,6.9,343924
tt2109248,5.6,343747
tt0103776,7.1,343529
tt0298203,7.2,343012
tt0463854,6.9,342324
tt0129387,7.1,342232
tt11280740,8.7,342185
tt4034228,7.8,341862
tt0175880,8.0,340983
tt2004420,6.3,340714
tt9114286,6.6,340376
tt0453467,7.1,340167
tt5727208,7.4,340037
tt0320661,7.3,339977
tt0119177,7.7,339408
tt0944835,6.5,339296
tt3682448,7.6,339184
tt0120201,7.3,338644
tt4263482,7.0,338347
tt0106977,7.8,337651
tt0367279,8.6,337464
tt1197624,7.4,337390
tt0120762,7.7,336623
tt17526714,7.2,336390
tt0399201,6.8,336162
tt2316204,6.4,335650
tt1485796,7.5,335400
tt0425210,7.7,334759
tt1245526,7.0,334277
tt0838283,6.9,334150
tt12637874,8.3,333878
tt0489099,6.1,333794
tt0212720,7.2,333713
tt0278504,7.2,333615
tt1790885,7.4,333588
tt0118880,6.9,333392
tt0056172,8.3,333221
tt0293662,6.8,333119
tt1028532,8.1,333062
tt1397280,6.2,332945
tt1837492,7.4,332170
tt0319343,7.1,332079
tt4550098,7.4,331908
tt0119822,7.7,331519
tt2372162,8.0,331384
tt1764651,6.6,330771
tt7349950,6.5,330764
tt1152836,6.9,330699
tt0120623,7.2,330631
tt0112384,7.7,329678
tt7660850,8.8,328853
tt1028528,7.0,327476
tt1125849,7.9,327445
tt0077651,7.7,327408
tt1013752,6.5,327371
tt0265666,7.6,326603
tt1598778,6.8,326498
tt2397535,7.4,326417
tt3076658,7.6,326202
tt3065204,7.3,326191
tt1253863,6.2,325427
tt0449467,7.5,325411
tt4123430,6.5,324569
tt2277860,7.2,324375
tt9243946,7.3,324190
tt1194173,6.6,323836
tt3464902,7.1,323210
tt0195714,6.7,322676
tt0814314,7.6,322443
tt4160708,7.1,322113
tt0120611,7.1,321691
tt0463985,6.1,320876
tt0808151,6.7,320581
tt0388629,9.0,319915
tt1478338,6.8,319887
tt3450958,7.4,319823
tt0783233,7.8,319018
tt0077631,7.2,318658
tt1091191,7.5,318390
tt2674426,7.4,318348
tt1586680,8.5,318012
tt0121164,7.4,317670
tt0120812,7.0,317437
tt0089218,7.7,317410
tt14392248,9.1,316478
tt0437086,7.3,315977
tt1001526,7.3,315868
tt6763664,8.5,315429
tt3263904,7.4,315191
tt0170016,6.4,315099
tt0800039,7.1,314768
tt0322259,5.9,314662
tt1259571,4.8,314108
tt3402236,6.5,314052
tt0473075,6.5,313527
tt0120669,7.5,313348
tt8228288,7.0,312936
tt0379786,7.8,312337
tt1735898,6.1,311697
tt0438097,6.8,311141
tt9603212,7.6,310967
tt8332922,7.2,310089
tt1192628,7.3,309692
tt0196229,6.5,309540
tt7975244,6.6,309496
tt0203009,7.6,309464
tt0258000,6.8,309427
tt0112442,6.8,308539
tt1213663,6.9,308433
tt0175142,6.3,308371
tt0181875,7.9,307933
tt0107614,7.1,307747
tt0450385,6.8,307713
tt1312171,7.8,307587
tt0212985,6.8,307585
tt1343727,7.1,307434
tt6139732,6.9,307350
tt1266020,8.6,306843
tt0104257,7.7,306812
tt0187393,7.2,306758
tt0381681,8.1,306535
tt0095765,8.5,306211
tt0118884,7.5,306198
tt0185937,6.5,306154
tt1439629,8.5,306077
tt7126948,5.3,305686
tt0289765,7.2,305633
tt7349662,7.5,305411
tt10954984,6.8,305310
tt0187078,6.5,305219
tt0097757,7.6,305193
tt1133985,5.5,305193
tt0251127,6.5,305094
tt1922777,6.8,304340
tt0452623,7.6,304233
tt0099348,8.0,303710
tt1817273,7.3,303116
tt0120804,6.6,302700
tt1979376,7.6,302685
tt0837562,7.0,302649
tt0116695,7.3,302564
tt1340138,6.3,302528
tt1386588,6.7,302449
tt2302755,6.5,302306
tt1375670,6.0,302294
tt0151804,7.6,302245
tt5362988,7.7,301610
tt3040964,7.3,301488
tt0800320,5.8,301241
tt0093870,7.6,300874
tt12037194,7.5,300697
tt0338526,6.1,300627
tt0259711,6.9,300426
tt2361509,7.1,300137
tt0348150,6.1,300102
tt10234724,7.3,299259
tt0061722,8.0,298857
tt0053291,8.2,298619
tt2243973,8.5,297782
tt0290002,6.4,297680
tt6443346,6.2,297482
tt0183649,7.1,297001
tt1650554,6.5,296911
tt6823368,6.6,296782
tt4046784,6.3,296634
tt10838180,5.6,296489
tt0320691,7.0,296134
tt0795421,6.5,296009
tt13406094,8.0,295840
tt0257044,7.6,295762
tt2661044,7.5,295491
tt0411477,7.0,295208
tt0401729,6.6,295034
tt0111503,7.3,294967
tt0116483,7.0,294491
tt0118749,7.9,294482
tt0486655,7.6,294377
tt7097896,5.9,293815
tt0303461,8.9,293731
tt0486576,5.6,293660
tt2741602,7.9,293615
tt0083944,7.7,293312
tt0070735,8.2,293109
tt0059578,8.2,292911
tt0432283,7.9,292533
tt5700672,7.6,292423
tt0955308,6.6,292323
tt0369179,7.1,292192
tt0368447,6.6,291234
tt0803096,6.7,290980
tt0432348,6.6,290903
tt5675620,8.4,290812
tt3235888,6.8,290784
tt0190332,7.9,290253
tt1077368,6.2,290098
tt0093409,7.6,289638
tt2381941,6.6,289609
tt0119643,7.2,289388
tt7984734,7.4,289307
tt14452776,8.5,289306
tt5537002,7.6,289304
tt1464335,6.3,288795
tt0327597,7.8,288770
tt5834204,8.3,288645
tt0215750,7.5,288575
tt0286716,5.7,288293
tt4236770,8.6,287582
tt6741278,8.7,287177
tt2953050,7.2,286661
tt11138512,7.0,286571
tt6105098,6.8,286128
tt3228774,7.3,286063
tt0075686,7.9,285993
tt0118583,6.2,285785
tt0072890,8.0,285106
tt0102057,6.8,285049
tt1855199,7.6,284817
tt2005151,7.1,284549
tt11813216,7.7,284498
tt0221027,7.5,284057
tt0309698,7.3,284034
tt0363547,7.2,283816
tt2024469,6.9,283584
tt1931533,7.1,283529
tt0172156,6.6,283229
tt8936646,6.8,282496
tt1016150,7.8,282059
tt0252866,6.5,281980
tt1564367,6.4,281968
tt0082096,8.4,281947
tt0087800,7.4,281522
tt0059742,8.1,281202
tt0443272,7.3,280779
tt0243155,6.8,280771
tt0448134,7.2,280620
tt1823672,6.8,279811
tt0113189,7.2,279585
tt4846340,7.8,279398
tt0804503,8.7,279328
tt0285403,8.4,279152
tt1080016,6.9,279050
tt0080339,7.7,278910
tt8772296,8.2,278862
tt1385826,7.0,278789
tt0364725,6.7,278659
tt0118688,3.8,278100
tt0112462,5.4,277696
tt7713068,6.1,277314
tt1092026,6.9,277056
tt0497465,7.1,276977
tt2293640,6.4,276831
tt0844471,6.9,276795
tt0027977,8.5,276567
tt0478087,6.8,276458
tt0358273,7.8,276401
tt0080678,8.2,276101
tt0045152,8.3,275801
tt6718170,7.0,275606
tt6027920,4.0,275391
tt1051906,7.1,275357
tt1673434,5.6,275327
tt9288030,8.0,274923
tt0396171,7.5,274906
tt1401152,6.8,274384
tt0429493,6.7,274380
tt1325004,5.1,274071
tt0149460,8.5,273620
tt1386703,6.2,273590
tt4786824,8.6,273492
tt0479884,6.9,273464
tt2935510,6.5,273396
tt1706593,7.0,273272
tt1959490,5.8,273110
tt5950044,7.3,273104
tt0092890,7.1,273085
tt0250494,6.5,272981
tt9208876,7.1,272898
tt3281548,7.8,272716
tt0765443,7.6,272639
tt1832382,8.3,272421
tt1032755,7.2,272318
tt0824747,7.7,272062
tt9218128,6.5,272047
tt0057115,8.2,271798
tt0119282,7.3,271787
tt1798684,7.3,271739
tt0472954,8.8,271694
tt1148204,7.0,271033
tt5442430,6.6,270901
tt1601913,6.7,270559
tt0976051,7.6,270417
tt3079380,7.0,270284
tt0120660,7.3,270283
tt31193180,7.6,270263
tt2126355,6.1,270009
tt0985699,7.1,269608
tt0245712,8.0,269342
tt0117381,7.7,269279
tt2582782,7.6,269126
tt1442449,8.5,269117
tt2704998,6.9,268969
tt0107818,7.7,268907
tt0112697,6.9,268898
tt0486822,6.8,268727
tt0118655,7.0,268313
tt0844441,7.9,267870
tt0825232,7.3,267753
tt4630562,6.6,267664
tt0399146,7.4,267288
tt1179904,6.3,267197
tt1211956,6.7,267123
tt2908446,6.2,266624
tt2660888,7.0,266465
tt1324999,4.9,266411
tt0052618,8.1,266085
tt0106179,8.6,265692
tt1119644,8.4,265622
tt0335345,7.3,265565
tt0898367,7.2,265565
tt0914798,7.7,265538
tt1440129,5.8,265503
tt1436562,6.9,265371
tt1243957,6.0,265367
tt2906216,7.2,265329
tt18412256,7.1,265263
tt0087363,7.3,264691
tt1189340,7.3,264612
tt0134119,7.4,264297
tt2321549,6.8,264293
tt0087538,7.3,264287
tt0108550,7.7,264122
tt0259324,5.3,263976
tt0435625,7.2,263957
tt0163978,6.6,263845
tt0479952,6.7,263447
tt0465234,6.5,263340
tt1649418,6.5,263205
tt0110632,7.2,262749
tt0120855,7.3,262443
tt5109784,6.6,262178
tt3741834,8.0,261955
tt1731141,6.6,261852
tt0183505,6.6,260903
tt2301451,10.0,260900
tt0134847,7.0,260682
tt5034838,6.3,260405
tt1212450,7.2,260024
tt0338348,6.6,260008
tt0436992,8.5,259775
tt0098635,7.7,259129
tt0103874,7.4,259090
tt0144117,7.6,258929
tt1959563,6.9,258560
tt1649419,7.5,258346
tt0978764,6.1,258312
tt0145660,6.7,258298
tt0448011,6.2,258236
tt10954600,6.0,258231
tt1826940,7.8,258094
tt0813715,7.5,257635
tt1033575,7.3,257320
tt0123755,7.1,257303
tt11866324,7.1,256763
tt0265208,6.7,256134
tt1424381,6.4,255819
tt5580036,7.5,255817
tt0108399,7.9,255269
tt5164214,6.3,255095
tt0384537,6.5,255031
tt0414993,7.1,254920
tt1289401,6.8,254773
tt0116996,6.4,254297
tt0117509,6.7,254260
tt2184339,5.8,254249
tt0485947,7.7,253944
